school,year,games,wins,losses,ties,preseason_rank,postseason_rank,srs,sp_overall,sp_offense,sp_defense,first_name,last_name
Texas,1986,11,5,6,0,,,1.8,4,27.8,25,Fred,Akers
Purdue,1987,11,3,7,1,,,-4.8,-8.1,23.2,30.5,Fred,Akers
Purdue,1988,11,4,7,0,,,-12.3,-15.7,15.9,30.9,Fred,Akers
Purdue,1989,11,3,8,0,,,-5.8,-5.2,22.5,27.7,Fred,Akers
Purdue,1990,11,2,9,0,,,-7.4,-9.4,24.2,32.4,Fred,Akers
Rice,1978,11,2,9,0,,,-2.9,-4.4,29.6,33.7,Ray,Alborn
Rice,1979,11,1,10,0,,,-7.6,-9.4,26.2,33.9,Ray,Alborn
Rice,1980,11,5,6,0,,,4.4,0.4,21.3,20.9,Ray,Alborn
Rice,1981,11,4,7,0,,,-4.2,-9,25.7,33.5,Ray,Alborn
Rice,1982,11,0,11,0,,,-16.3,-18.9,18.6,35.7,Ray,Alborn
Rice,1983,11,1,10,0,,,-21.8,-28.1,10.6,36.3,Ray,Alborn
Duke,1923,9,5,4,0,,,-24.5,,,,S.M.,Alexander
Georgia Tech,1920,9,8,1,0,,,23.1,,,,William,Alexander
Georgia Tech,1921,9,8,1,0,,,17.7,,,,William,Alexander
Georgia Tech,1922,9,7,2,0,,,11.5,,,,William,Alexander
Georgia Tech,1923,9,3,2,4,,,1.4,,,,William,Alexander
Georgia Tech,1924,9,5,3,1,,,8.5,,,,William,Alexander
Georgia Tech,1925,9,6,2,1,,,7.8,,,,William,Alexander
Georgia Tech,1926,9,4,5,0,,,3.5,,,,William,Alexander
Georgia Tech,1927,10,8,1,1,,,9.3,,,,William,Alexander
Georgia Tech,1928,10,10,0,0,,,18.6,,,,William,Alexander
Georgia Tech,1929,9,3,6,0,,,0.6,,,,William,Alexander
Georgia Tech,1930,9,2,6,1,,,-2.5,,,,William,Alexander
Georgia Tech,1931,10,2,7,1,,,0,,,,William,Alexander
Georgia Tech,1932,10,4,5,1,,,7,,,,William,Alexander
Georgia Tech,1933,10,5,5,0,,,6,,,,William,Alexander
Georgia Tech,1934,10,1,9,0,,,-4.5,,,,William,Alexander
Georgia Tech,1935,10,5,5,0,,,4.4,,,,William,Alexander
Georgia Tech,1936,11,5,5,1,,,11.9,,,,William,Alexander
Georgia Tech,1937,10,6,3,1,,,14.1,,,,William,Alexander
Georgia Tech,1938,10,3,4,3,,,3.3,,,,William,Alexander
Georgia Tech,1939,10,8,2,0,,16,15.7,,,,William,Alexander
Georgia Tech,1940,10,3,7,0,,,1.2,,,,William,Alexander
Georgia Tech,1941,9,3,6,0,,,2.8,,,,William,Alexander
Georgia Tech,1942,11,9,2,0,,5,23.6,,,,William,Alexander
Georgia Tech,1943,11,8,3,0,,13,17.9,,,,William,Alexander
Georgia Tech,1944,11,8,3,0,,13,19.6,,,,William,Alexander
Kansas,1920,8,5,2,1,,,6.9,,,,Phog,Allen
Boise State,1996,2,1,1,0,,,-30,-32.8,23.7,48.8,Pokey,Allen
Kansas,1997,11,5,6,0,,,-9.5,-10,20.6,29.8,Terry,Allen
Kansas,1998,11,4,7,0,,,-1.8,-3.8,31.1,34.6,Terry,Allen
Kansas,1999,12,5,7,0,,,-7.8,-7.7,28.1,34.6,Terry,Allen
Kansas,2000,11,4,7,0,,,-5.3,0.7,35.6,35,Terry,Allen
Kansas,2001,8,2,6,0,,,-10.5,-6.8,30.4,35.9,Terry,Allen
Indiana,2016,1,0,1,0,,,1,4.6,25.1,19.4,Tom,Allen
Indiana,2017,12,5,7,0,,,6,10.2,28.6,20.2,Tom,Allen
Indiana,2018,12,5,7,0,,,1.5,1.6,30.2,29.1,Tom,Allen
Indiana,2019,13,8,5,0,,,6.8,12.8,35.6,23.8,Tom,Allen
Indiana,2020,0,0,0,0,,,13.2,11.2,33.6,22.6,Tom,Allen
Texas,1911,7,5,2,0,,,8.7,,,,Dave,Allerdice
Texas,1912,8,7,1,0,,,12.7,,,,Dave,Allerdice
Texas,1913,8,7,1,0,,,3.2,,,,Dave,Allerdice
Texas,1914,8,8,0,0,,,19.8,,,,Dave,Allerdice
Texas,1915,9,6,3,0,,,6.5,,,,Dave,Allerdice
Louisville,1973,11,5,6,0,,,-7.3,0,16.6,17,Tom,Alley
Louisville,1974,11,4,7,0,,,-9.1,-10.8,16.2,26.3,Tom,Alley
Washington,1920,6,1,5,0,,,-2.4,,,,Stub,Allison
California,1935,10,9,1,0,,,20.5,,,,Stub,Allison
California,1936,11,6,5,0,,,9.7,,,,Stub,Allison
California,1937,11,10,0,1,,2,21.8,,,,Stub,Allison
California,1938,11,10,1,0,,14,14.7,,,,Stub,Allison
California,1939,10,3,7,0,,,-4,,,,Stub,Allison
California,1940,10,4,6,0,,,7.5,,,,Stub,Allison
California,1941,9,4,5,0,,,12.6,,,,Stub,Allison
California,1942,10,5,5,0,,,-3.2,,,,Stub,Allison
California,1943,10,4,6,0,,,5.7,,,,Stub,Allison
California,1944,10,3,6,1,,,-8.7,,,,Stub,Allison
UTEP,1981,9,1,8,0,,,-22.1,-26.6,20.3,42.4,Billy,Alton
Wisconsin,1990,11,1,10,0,,,-8.8,-11.8,17.3,28.2,Barry,Alvarez
Wisconsin,1991,11,5,6,0,,,-5.8,-11.8,13.4,24.3,Barry,Alvarez
Wisconsin,1992,11,5,6,0,,,2.6,3.5,23.7,20.9,Barry,Alvarez
Wisconsin,1993,12,10,1,1,,6,17.9,20.5,37.2,17.8,Barry,Alvarez
Wisconsin,1994,12,7,4,1,10,,14.3,16.3,37.6,23,Barry,Alvarez
Wisconsin,1995,11,4,5,2,21,,8.8,9.8,30.9,22.8,Barry,Alvarez
Wisconsin,1996,13,8,5,0,,,10.4,11.8,34.2,24,Barry,Alvarez
Wisconsin,1997,13,8,5,0,24,,-0.2,-0.3,28,28.3,Barry,Alvarez
Wisconsin,1998,12,11,1,0,20,6,19.8,22.5,36.7,15.3,Barry,Alvarez
Wisconsin,1999,12,10,2,0,10,4,21.7,23,38.5,16.9,Barry,Alvarez
Wisconsin,2000,13,9,4,0,4,23,10,14.7,34.2,20.6,Barry,Alvarez
Wisconsin,2001,12,5,7,0,22,,3.4,8.1,38.5,32.1,Barry,Alvarez
Wisconsin,2002,14,8,6,0,25,,7.5,12.8,35.7,24.7,Barry,Alvarez
Wisconsin,2003,13,7,6,0,21,,8,11.2,35.7,26.6,Barry,Alvarez
Wisconsin,2004,12,9,3,0,21,17,8,10.5,26.2,16.9,Barry,Alvarez
Wisconsin,2005,13,10,3,0,,15,13.2,11.1,35.3,24.2,Barry,Alvarez
Wisconsin,2012,1,0,1,0,12,,12.1,14.5,31.5,15.9,Barry,Alvarez
Wisconsin,2014,1,1,0,0,14,13,15.3,20.8,38.7,18.1,Barry,Alvarez
NC State,2000,12,8,4,0,,,3.1,1.2,36.8,35.9,Chuck,Amato
NC State,2001,12,7,5,0,,,6.8,6.4,31.9,27.1,Chuck,Amato
NC State,2002,14,11,3,0,,12,16.1,19.2,38.2,20.6,Chuck,Amato
NC State,2003,13,8,5,0,16,,12.9,17.3,46.2,33.5,Chuck,Amato
NC State,2004,11,5,6,0,,,7.5,8.1,29.9,23.3,Chuck,Amato
NC State,2005,12,7,5,0,,,4.4,9.4,22.1,12.7,Chuck,Amato
NC State,2006,12,3,9,0,,,-4,0.2,18.7,19.1,Chuck,Amato
Wake Forest,1956,10,2,5,3,,,-0.9,,,,Paul,Amen
Wake Forest,1957,10,0,10,0,,,-7.7,,,,Paul,Amen
Wake Forest,1958,10,3,7,0,,,0,,,,Paul,Amen
Wake Forest,1959,10,6,4,0,,,4.2,,,,Paul,Amen
Northwestern,1892,10,5,3,2,,,,,,,Knowlton,Ames
Purdue,1892,8,8,0,0,,,,,,,Knowlton,Ames
Toledo,2001,12,10,2,0,,23,1.4,4,37.4,34.4,Tom,Amstutz
Toledo,2002,14,9,5,0,,,2.1,7.6,40.7,35.1,Tom,Amstutz
Toledo,2003,12,8,4,0,,,-0.2,-1.1,34.2,34.9,Tom,Amstutz
Toledo,2004,13,9,4,0,,,-3.1,0.3,39.3,38.7,Tom,Amstutz
Toledo,2005,12,9,3,0,,,3.9,7.6,32.7,25.1,Tom,Amstutz
Toledo,2006,12,5,7,0,,,-13.6,-9.6,16.2,26.2,Tom,Amstutz
Toledo,2007,12,5,7,0,,,-13.8,-12.8,28.8,42.9,Tom,Amstutz
Toledo,2008,12,3,9,0,,,-14.7,-11.4,22.6,33.1,Tom,Amstutz
Utah State,2009,12,4,8,0,,,-9.5,-12.7,25.7,37.1,Gary,Andersen
Utah State,2010,12,4,8,0,,,-12.1,-19.2,17.1,34.4,Gary,Andersen
Utah State,2011,13,7,6,0,,,-3,-0.9,32.7,32.5,Gary,Andersen
Utah State,2012,13,11,2,0,,16,13.1,11,30.4,20.5,Gary,Andersen
Wisconsin,2013,13,9,4,0,23,22,18.5,22.4,39.5,15.6,Gary,Andersen
Wisconsin,2014,13,10,3,0,14,13,15.3,20.8,38.7,18.1,Gary,Andersen
Oregon State,2015,12,2,10,0,,,-10.8,-10.1,25.9,35.3,Gary,Andersen
Oregon State,2016,12,4,8,0,,,1.6,-4.6,26.1,30,Gary,Andersen
Oregon State,2017,6,1,5,0,,,-16.5,-12.6,28.8,39.9,Gary,Andersen
Utah State,2019,13,7,6,0,,,-5.3,-4.3,26.2,31,Gary,Andersen
Utah State,2020,0,0,0,0,,,-19.2,-16.7,20.2,37,Gary,Andersen
Arkansas State,2014,13,7,6,0,,,-4.9,-0.3,31.5,31.6,Blake,Anderson
Arkansas State,2015,13,9,4,0,,,-3.2,0.5,30.9,28.4,Blake,Anderson
Arkansas State,2016,13,8,5,0,,,-1.2,-1.2,21.9,21.1,Blake,Anderson
Arkansas State,2017,12,7,5,0,,,-2.9,1.5,29.3,28.6,Blake,Anderson
Arkansas State,2018,13,8,5,0,,,-2.8,1.2,29.9,27.9,Blake,Anderson
Arkansas State,2019,13,8,5,0,,,-5.6,-2.9,30.1,34.2,Blake,Anderson
Arkansas State,2020,0,0,0,0,,,-7.3,-6.5,31.1,37.2,Blake,Anderson
Rutgers,1984,10,7,3,0,,,8.7,9.8,27.5,18.4,Dick,Anderson
Rutgers,1985,11,2,8,1,,,-5.7,-6.1,19.5,25.4,Dick,Anderson
Rutgers,1986,11,5,5,1,,,4.9,6.8,25.2,19.4,Dick,Anderson
Rutgers,1987,11,6,5,0,,,0,-0.4,20.3,20.5,Dick,Anderson
Rutgers,1988,11,5,6,0,,,4.7,3.7,29.8,27.4,Dick,Anderson
Rutgers,1989,11,2,7,2,,,-10,-14.5,25.2,36.8,Dick,Anderson
Holy Cross,1938,9,8,1,0,,9,20.6,,,,Edward,Anderson
Iowa,1939,8,6,1,1,,9,5.5,,,,Edward,Anderson
Iowa,1940,8,4,4,0,,,9.9,,,,Edward,Anderson
Iowa,1941,8,3,5,0,,,6.1,,,,Edward,Anderson
Iowa,1942,10,6,4,0,,,5.3,,,,Edward,Anderson
Iowa,1946,9,5,4,0,,,21.1,,,,Edward,Anderson
Iowa,1947,9,3,5,1,,,5.6,,,,Edward,Anderson
Iowa,1948,9,4,5,0,,,5.1,,,,Edward,Anderson
Iowa,1949,9,4,5,0,,,11.7,,,,Edward,Anderson
Holy Cross,1950,10,4,5,1,,,-4.9,,,,Edward,Anderson
Holy Cross,1951,10,8,2,0,,19,15,,,,Edward,Anderson
Holy Cross,1952,10,8,2,0,,,5.4,,,,Edward,Anderson
Holy Cross,1953,10,5,5,0,,,0.4,,,,Edward,Anderson
Holy Cross,1954,10,3,7,0,,,-10.5,,,,Edward,Anderson
Holy Cross,1955,10,6,4,0,,,-12.9,,,,Edward,Anderson
Holy Cross,1956,9,5,3,1,,,-5.6,,,,Edward,Anderson
Holy Cross,1957,9,5,3,1,,,0.8,,,,Edward,Anderson
Holy Cross,1958,9,6,3,0,,,-3.1,,,,Edward,Anderson
Holy Cross,1959,10,6,4,0,,,-10,,,,Edward,Anderson
Holy Cross,1960,10,6,4,0,,,-3.5,,,,Edward,Anderson
Holy Cross,1961,10,7,3,0,,,-3.7,,,,Edward,Anderson
Holy Cross,1962,10,6,4,0,,,-7.8,,,,Edward,Anderson
Holy Cross,1963,9,2,6,1,,,-10.2,,,,Edward,Anderson
Holy Cross,1964,10,5,5,0,,,-8.4,,,,Edward,Anderson
San José State,1965,10,5,5,0,,,-7.1,,,,Harry,Anderson
San José State,1966,10,3,7,0,,,-3,,,,Harry,Anderson
San José State,1967,9,2,7,0,,,-9.5,,,,Harry,Anderson
San José State,1968,10,3,7,0,,,-16.8,,,,Harry,Anderson
Notre Dame,1931,9,6,2,1,,,25,,,,Hunk,Anderson
Notre Dame,1932,9,7,2,0,,,25.6,,,,Hunk,Anderson
Notre Dame,1933,9,3,5,1,,,6.9,,,,Hunk,Anderson
NC State,1934,9,2,6,1,,,-7.6,,,,Hunk,Anderson
NC State,1935,10,6,4,0,,,-6.3,,,,Hunk,Anderson
NC State,1936,10,3,7,0,,,-0.2,,,,Hunk,Anderson
Rice,1918,7,1,5,1,,,,,,,John,Anderson
Brown,1973,8,4,3,1,,,-12.3,6,29,24.5,John,Anderson
Brown,1974,9,5,4,0,,,-25.1,-7.4,13.3,20,John,Anderson
Brown,1975,9,6,2,1,,,-6.1,9.8,32,23.7,John,Anderson
Brown,1976,9,8,1,0,,,-0.5,8.5,23.8,16,John,Anderson
Brown,1977,9,7,2,0,,,-1.1,1.8,17.2,15.9,John,Anderson
Brown,1978,9,6,3,0,,,-6.2,6.6,28.1,22.7,John,Anderson
Brown,1979,9,6,3,0,,,-15.7,5.7,23.5,18.7,John,Anderson
Brown,1980,10,6,4,0,,,-12.4,0.7,29,28.7,John,Anderson
Brown,1981,10,3,7,0,,,-26.9,-18.5,17,34.4,John,Anderson
Syracuse,1927,10,5,3,2,,,0.7,,,,Lew,Andreas
Syracuse,1928,9,4,4,1,,,-5.8,,,,Lew,Andreas
Syracuse,1929,9,6,3,0,,,0.2,,,,Lew,Andreas
Idaho,1962,9,2,6,1,,,-15.1,,,,Dee,Andros
Idaho,1963,9,5,4,0,,,-4.8,,,,Dee,Andros
Idaho,1964,10,4,6,0,,,4.2,,,,Dee,Andros
Oregon State,1965,10,5,5,0,,,4.8,,,,Dee,Andros
Oregon State,1966,10,7,3,0,,,1,,,,Dee,Andros
Oregon State,1967,10,7,2,1,,7,11.9,,,,Dee,Andros
Oregon State,1968,10,7,3,0,6,15,20,,,,Dee,Andros
Oregon State,1969,10,6,4,0,,,15.5,,,,Dee,Andros
Oregon State,1970,11,6,5,0,,,12,8.1,28.5,21.1,Dee,Andros
Oregon State,1971,11,5,6,0,,,5.3,4.6,34.2,31.4,Dee,Andros
Oregon State,1972,11,2,9,0,,,-4.3,-3.5,21.9,25.2,Dee,Andros
Oregon State,1973,11,2,9,0,,,-1,-6.8,22.3,28.7,Dee,Andros
Oregon State,1974,11,3,8,0,,,1.5,-2.1,27,29,Dee,Andros
Oregon State,1975,11,1,10,0,,,-6.9,-13.3,13.8,26.1,Dee,Andros
Bowling Green,1986,11,5,6,0,,,-17.6,-12.4,14.3,25.6,Moe,Ankney
Bowling Green,1987,11,5,6,0,,,-10.2,-4.5,24,28.3,Moe,Ankney
Bowling Green,1988,11,2,8,1,,,-26.5,-19.6,18.3,36.2,Moe,Ankney
Bowling Green,1989,11,5,6,0,,,-21.7,-15.9,23.6,36.9,Moe,Ankney
Bowling Green,1990,10,3,5,2,,,-15.8,-12.5,11.6,23.1,Moe,Ankney
Houston,2016,1,0,1,0,15,,5.4,10.1,30.8,21.7,Major,Applewhite
Houston,2017,12,7,5,0,,,2.7,7.7,32.3,25.8,Major,Applewhite
Houston,2018,13,8,5,0,,,-1.1,2.3,36.7,34.9,Major,Applewhite
Baylor,2020,0,0,0,0,,,1.8,1.3,25.6,24.2,Dave,Aranda
Rice,1914,8,3,2,3,,,-16.3,,,,Phillip,Arbuckle
Rice,1915,8,5,3,0,,,-13.2,,,,Phillip,Arbuckle
Rice,1916,9,6,1,2,,,-4.6,,,,Phillip,Arbuckle
Rice,1917,8,7,1,0,,,18.1,,,,Phillip,Arbuckle
Rice,1919,9,8,1,0,,,3.8,,,,Phillip,Arbuckle
Rice,1920,8,4,2,2,,,-8.2,,,,Phillip,Arbuckle
Rice,1921,9,4,4,1,,,-11.5,,,,Phillip,Arbuckle
Rice,1922,8,4,4,0,,,-10.8,,,,Phillip,Arbuckle
Rice,1923,8,3,5,0,,,-7.9,,,,Phillip,Arbuckle
LSU,1987,12,10,1,1,6,5,20,23.5,38.8,16.5,Mike,Archer
LSU,1988,12,8,4,0,18,19,10.2,13.8,29,15.9,Mike,Archer
LSU,1989,11,4,7,0,7,,10.3,14.1,36.5,24,Mike,Archer
LSU,1990,11,5,6,0,,,-4.3,-2.7,21.9,24.3,Mike,Archer
Temple,1983,11,4,7,0,,,-1.9,-2.8,20.8,23.7,Bruce,Arians
Temple,1984,11,6,5,0,,,7.5,8.9,24.5,16.7,Bruce,Arians
Temple,1985,11,4,7,0,,,2.6,-0.4,24.7,25.2,Bruce,Arians
Temple,1986,11,6,5,0,,,7.5,11.8,36.9,27.4,Bruce,Arians
Temple,1987,11,3,8,0,,,-8.7,-13,16,28,Bruce,Arians
Temple,1988,11,4,7,0,,,-5.5,-9,25.2,33.3,Bruce,Arians
Utah,1925,8,6,2,0,,,-7.5,,,,Ike,Armstrong
Utah,1926,7,7,0,0,,,1.5,,,,Ike,Armstrong
Utah,1927,7,3,3,1,,,-7.6,,,,Ike,Armstrong
Utah,1928,7,5,0,2,,,1.2,,,,Ike,Armstrong
Utah,1929,7,7,0,0,,,-0.5,,,,Ike,Armstrong
Utah,1930,8,8,0,0,,,24.7,,,,Ike,Armstrong
Utah,1931,9,7,2,0,,,16,,,,Ike,Armstrong
Utah,1932,8,6,1,1,,,11.6,,,,Ike,Armstrong
Utah,1933,8,5,3,0,,,-0.7,,,,Ike,Armstrong
Utah,1934,8,5,3,0,,,-3.1,,,,Ike,Armstrong
Utah,1935,8,4,3,1,,,5.4,,,,Ike,Armstrong
Utah,1936,9,6,3,0,,,-1.2,,,,Ike,Armstrong
Utah,1937,8,5,3,0,,,-5.9,,,,Ike,Armstrong
Utah,1938,10,7,1,2,,,0.3,,,,Ike,Armstrong
Utah,1939,9,6,1,2,,,4.4,,,,Ike,Armstrong
Utah,1940,9,7,2,0,,,-0.3,,,,Ike,Armstrong
Utah,1941,8,6,0,2,,,0,,,,Ike,Armstrong
Utah,1942,9,6,3,0,,,-10.4,,,,Ike,Armstrong
Utah,1943,7,0,7,0,,,-19.5,,,,Ike,Armstrong
Utah,1944,8,5,2,1,,,4.9,,,,Ike,Armstrong
Utah,1945,8,4,4,0,,,-4,,,,Ike,Armstrong
Utah,1946,11,8,3,0,,,-6.7,,,,Ike,Armstrong
Utah,1947,10,8,1,1,,,-2.4,,,,Ike,Armstrong
Utah,1948,10,8,1,1,,,-0.6,,,,Ike,Armstrong
Utah,1949,10,2,7,1,,,-11.8,,,,Ike,Armstrong
LSU,1984,12,8,3,1,,15,12.8,16.6,34.7,19.6,Bill,Arnsparger
LSU,1985,12,9,2,1,13,20,10.7,10.2,22.2,12.5,Bill,Arnsparger
LSU,1986,12,9,3,0,15,10,15.5,23,35.4,13.2,Bill,Arnsparger
UNLV,2020,0,0,0,0,,,-19.2,-19.7,22,41.5,Marcus,Arroyo
Utah State,1998,11,3,8,0,,,-16.4,-19,20.3,37.3,Dave,Arslanian
Utah State,1999,11,4,7,0,,,-12.7,-11.6,23.6,33.5,Dave,Arslanian
Colorado State,1973,11,5,6,0,,,-10.4,-10.6,28.1,36.5,Sarkis,Arslanian
Colorado State,1974,11,4,6,1,,,-0.4,-1,29,30.1,Sarkis,Arslanian
Colorado State,1975,11,6,5,0,,,-0.4,-2,21.1,23.2,Sarkis,Arslanian
Colorado State,1976,11,6,5,0,,,-6.8,-11.5,15.1,25.8,Sarkis,Arslanian
Colorado State,1977,12,9,2,1,,,5.4,6.5,27.5,22.1,Sarkis,Arslanian
Colorado State,1978,11,5,6,0,,,-2.5,-5.6,24.4,29.8,Sarkis,Arslanian
Colorado State,1979,12,4,7,1,,,-3.6,-3.2,19,22.4,Sarkis,Arslanian
Colorado State,1980,11,6,4,1,,,-5.4,-5.2,29,33.9,Sarkis,Arslanian
Colorado State,1981,6,0,6,0,,,-17.8,-20.2,24.9,41.4,Sarkis,Arslanian
Akron,2019,12,0,12,0,,,-34.7,-29.8,7.7,35.3,Tom,Arth
Akron,2020,0,0,0,0,,,,,,,Tom,Arth
Rutgers,2016,12,2,10,0,,,-10.9,-14.9,17.3,29.9,Chris,Ash
Rutgers,2017,12,4,8,0,,,-6.1,-5.5,23.3,29,Chris,Ash
Rutgers,2018,12,1,11,0,,,-12.9,-12.3,15,28.5,Chris,Ash
Rutgers,2019,4,1,3,0,,,-16.7,-14.6,17.4,31.8,Chris,Ash
BYU,1949,11,0,11,0,,,-39.1,,,,Charles,Atkinson
BYU,1950,10,4,5,1,,,-21.6,,,,Charles,Atkinson
BYU,1951,10,6,3,1,,,-23.3,,,,Charles,Atkinson
BYU,1952,10,4,6,0,,,-21.2,,,,Charles,Atkinson
BYU,1953,10,2,7,1,,,-15.4,,,,Charles,Atkinson
BYU,1954,9,1,8,0,,,-26,,,,Charles,Atkinson
BYU,1955,10,1,9,0,,,-33,,,,Charles,Atkinson
Nevada,1992,12,7,5,0,,,-10.7,-11.5,26.2,35.3,Chris,Ault
Nevada,1994,11,9,2,0,,,3.2,4.6,39.8,36.5,Chris,Ault
Nevada,1995,12,9,3,0,,,-1.5,7.1,46.7,41.5,Chris,Ault
Nevada,2004,12,5,7,0,,,-16.1,-19,30.5,44,Chris,Ault
Nevada,2005,12,9,3,0,,,-7.6,-6.5,28.4,34.9,Chris,Ault
Nevada,2006,13,8,5,0,,,4.2,0.9,25.4,23.8,Chris,Ault
Nevada,2007,13,6,7,0,,,-9,-4.2,31.5,35.3,Chris,Ault
Nevada,2008,13,7,6,0,,,0.3,0.9,34,33,Chris,Ault
Nevada,2009,13,8,5,0,,,0.9,0.5,35.6,34.3,Chris,Ault
Nevada,2010,14,13,1,0,,11,13,10.8,37.6,26.5,Chris,Ault
Nevada,2011,13,7,6,0,,,2,-0.4,30.4,28.7,Chris,Ault
Nevada,2012,13,7,6,0,,,-2.4,-2,36.4,37.7,Chris,Ault
Oregon State,1980,11,0,11,0,,,-15.4,-22.8,16.5,36.9,Joe,Avezzano
Oregon State,1981,11,1,10,0,,,-20.8,-28.5,21.1,43.4,Joe,Avezzano
Oregon State,1982,11,1,9,1,,,-7.4,-10.2,19.5,29,Joe,Avezzano
Oregon State,1983,11,2,8,1,,,-17.4,-20.9,16.5,35.6,Joe,Avezzano
Oregon State,1984,11,2,9,0,,,-6.5,-7,19,25.8,Joe,Avezzano
Bowling Green,2014,14,8,6,0,,,-13.4,-5.4,27.7,33.5,Dino,Babers
Bowling Green,2015,13,10,3,0,,,8.5,7.5,39.4,32.1,Dino,Babers
Syracuse,2016,12,4,8,0,,,-6.9,-2.7,29.2,31.2,Dino,Babers
Syracuse,2017,12,4,8,0,,,1,4,29.3,27.3,Dino,Babers
Syracuse,2018,13,10,3,0,,,12.1,7.5,32.1,27.4,Dino,Babers
Syracuse,2019,12,5,7,0,22,,-6.5,-3,24.5,29.6,Dino,Babers
Syracuse,2020,0,0,0,0,,,,,,,Dino,Babers
Northwestern,1919,7,2,5,0,,,3.2,,,,Charlie,Bachman
Kansas State,1920,9,3,3,3,,,-0.6,,,,Charlie,Bachman
Kansas State,1921,8,5,3,0,,,5.6,,,,Charlie,Bachman
Kansas State,1922,8,5,1,2,,,8.9,,,,Charlie,Bachman
Kansas State,1923,8,4,2,2,,,6.5,,,,Charlie,Bachman
Kansas State,1924,8,3,4,1,,,-2.1,,,,Charlie,Bachman
Kansas State,1925,8,5,2,1,,,11.6,,,,Charlie,Bachman
